H X
o X
w X
e X
v X
e X
r X
, X
, X
, X
u O
s O
i O
n O
g O
, X
b O
o O
t O
h O
, X
a X
u X
d X
i X
o X
, X
f O
e O
a O
t O
u O
r O
e O
s O
, X
a O
n O
d O
, X
t O
e O
x O
t O
, X
f O
e O
a O
t O
u O
r O
e O
s O
, X
, X
, X
t O
h O
e O
, X
m O
o O
d O
e O
l O
, X
u X
s X
u X
a X
l X
l X
y X
, X
c X
o X
n X
v X
e X
r X
g X
e X
s X
, X
i O
n O
, X
2 X
0 X
, X
e X
p X
o X
c X
h X
s X
, X
w O
i O
t O
h O
o O
u O
t O
, X
o X
v X
e X
r X
- X
f X
i X
t X
t X
i X
n X
g X
 
, X
A X
n X
o X
t X
h X
e X
r X
, X
r X
e X
l X
a X
t X
e X
d X
, X
l X
i X
n X
e X
, X
o O
f O
, X
r X
e X
s X
e X
a X
r X
c X
h X
, X
i O
s O
, X
n X
a X
t X
u X
r X
a X
l X
, X
l X
a X
n X
- X
g X
u X
a X
g X
e X
, X
g X
e X
n X
e X
r X
a X
t X
i X
o X
n X
 
H X
o X
w X
e X
v X
e X
r X
, X
, X
, X
e X
v X
e X
n X
, X
s X
e X
m X
a X
n X
t X
i X
c X
a X
l X
l X
y X
, X
u X
n X
r X
e X
l X
a X
t X
e X
d X
, X
p O
a O
i O
r O
s O
, X
i O
n O
, X
S X
i X
m X
L X
e X
x X
, X
w O
e O
r O
e O
, X
d X
e X
e X
m X
e X
d X
, X
s X
o X
m X
e X
w X
h X
a X
t X
, X
r X
e X
l X
a X
t X
e X
d X
, X
b O
y O
, X
o O
u O
r O
, X
a X
n X
n X
o X
t X
a X
t X
o X
r X
s X
, X
, X
, X
a O
n O
d O
, X
t X
h X
e X
r X
e X
f X
o X
r X
e X
, X
w O
e O
, X
k X
e X
p X
t X
, X
o O
n O
l O
y O
, X
1 X
0 X
, X
o O
f O
, X
t O
h O
o O
s O
e O
, X
. X
 
f X
o X
r X
, X
i X
n X
s X
t X
a X
n X
c X
e X
, X
, X
, X
t O
h O
e O
, X
g X
r X
a X
p X
h X
s X
, X
g X
e X
n X
e X
r X
a X
t X
e X
d X
, X
f O
o O
r O
, X
t O
h O
e O
, X
d X
, X
t X
o X
k X
e X
n X
s X
, X
a O
r O
e O
, X
c X
o X
m X
p X
l X
e X
t X
e X
l X
y X
, X
i X
r X
r X
e X
l X
e X
v X
a X
n X
t X
 
W X
e X
, X
r X
e X
- X
i X
m X
p X
l X
e X
m X
e X
n X
t X
, X
p X
r X
o X
p X
o X
s X
i X
t X
i X
o X
n X
, X
l O
e O
v O
e O
l O
, X
s O
i O
m O
i O
l O
a O
r O
i O
t O
y O
, X
a O
n O
d O
, X
u O
s O
e O
, X
t O
h O
e O
, X
r O
e O
s O
u O
l O
t O
s O
, X
r O
e O
p O
o O
r O
t O
e O
d O
, X
b O
y O
, X
t O
h O
e O
, X
a X
u X
t X
h X
o X
r X
s X
, X
f O
o O
r O
, X
t O
h O
e O
, X
r X
e X
m X
a X
i X
n X
i X
n X
g X
, X
a X
p X
p X
r X
o X
a X
c X
h X
e X
s X
 
S X
i X
m X
i X
l X
a X
r X
, X
t O
o O
, X
m O
o O
s O
t O
, X
p X
u X
